nombre,bloque,provincia,votacion_final1,apellido,genero,poroteo,fuente_poroteo,twitter,fecha_nac,votacion_final0,edad
"schwindt, maria",frente de todos,buenos aires,afirmativo,schwindt,Mujer,a favor,https://www.clarin.com/sociedad/aborto-voto-voto-amplia-diferencia-diputados-siguen-dudas-senado_0_DoyIC_ZI.html,@LILIDEOLAVARRIA,1963-05-13,afirmativo,57
"sierra, magdalena",frente de todos,buenos aires,afirmativo,sierra,Mujer,a favor,voto en diputados,@MSierraDiputada,1966-06-25,afirmativo,54
"siley, vanesa",frente de todos,buenos aires,afirmativo,siley,Mujer,a favor,voto en diputados,@Vsiley,1984-08-19,afirmativo,36
"soria, martin",frente de todos,rio negro,afirmativo,soria,Varón,a favor,https://www.rionegro.com.ar/soria-el-aborto-clandestino-se-lleva-la-vida-de-las-mas-humildes-1600482/,@SoriaEnAccion,1975-12-15,afirmativo,45
"sposito, ayelen",frente de todos,rio negro,afirmativo,sposito,Mujer,a favor,https://www.facebook.com/spositoayelen/photos/a.1719480245002887/2118160645134843/?type=1&theater,@AyelenSposito,1985-11-09,afirmativo,35
"stilman, mariana",coalicion civica,buenos aires,afirmativo,stilman,Mujer,a favor,https://twitter.com/MarianStil/status/1230291749622427648?s=20,@marianstil,1975-11-03,afirmativo,45
"lastra, facundo",union civica radical,ciudad autonoma de buenos aires,afirmativo,lastra,Varón,a favor,voto en diputados,@fsuarezlastra,1954-02-24,afirmativo,66
"tailhade, luis",frente de todos,buenos aires,afirmativo,tailhade,Varón,a favor,Votó en diputados,@rodotailhade,1970-08-18,afirmativo,50
"tundis, mirta",frente de todos,buenos aires,afirmativo,tundis,Mujer,a favor,voto en diputados,@mirtatundis,1956-09-08,afirmativo,64
"uceda, marisa",frente de todos,mendoza,afirmativo,uceda,Mujer,a favor,https://www.mendozapost.com/nota/123723-marisa-uceda-y-el-aborto-legal-el-proyecto-anterior-me-parecia-bueno/,@MarisaUcedaOk,1979-01-30,afirmativo,41
"vallejos, maria",frente de todos,buenos aires,afirmativo,vallejos,Mujer,a favor,voto en diputados,@fvallejoss,1979-03-09,afirmativo,41
"vazquez, juan",frente de todos,santa cruz,afirmativo,vazquez,Varón,a favor,voto en diputados,@JuanVazquezFPV,1966-10-20,afirmativo,54
"vessvessian, marcela",frente de todos,santa cruz,afirmativo,vessvessian,Mujer,a favor,https://www.tiemposur.com.ar/nota/vessvessian-continuidad-de-las-politicas-sociales,@paolavessvess,1971-03-19,afirmativo,49
"vilar, daniela",frente de todos,buenos aires,afirmativo,vilar,Mujer,a favor,https://twitter.com/danyvilar/status/1009528533008502784,@danyvilar,1984-01-02,afirmativo,36
"vivero, carlos",frente de todos,neuquen,afirmativo,vivero,Varón,a favor,https://twitter.com/BetoVivero/status/1310704697175617536?s=20,@BetoVivero,1979-08-09,afirmativo,41
"wolff, waldo",pro,buenos aires,afirmativo,wolff,Varón,a favor,Votó en diputados,@WolffWaldo,1968-09-21,afirmativo,52
"yacobitti, emiliano",union civica radical,ciudad autonoma de buenos aires,afirmativo,yacobitti,Varón,a favor,http://aladerecha.com.ar/?p=977,@Yaco_Emiliano,1975-12-15,afirmativo,45
"yambrun, liliana",frente de todos,buenos aires,afirmativo,yambrun,Mujer,a favor,Firmo el dictamen de mayoria,NA,1957-10-13,afirmativo,63
"yasky, hugo",frente de todos,buenos aires,afirmativo,yasky,Varón,a favor,voto en diputados,@HugoYasky,1949-10-10,afirmativo,71
"yedlin, pablo",frente de todos,tucuman,afirmativo,yedlin,Varón,a favor,voto en diputados,@pyedlin,1966-07-16,afirmativo,54
"yutrovic, ines",frente de todos,tierra del fuego,afirmativo,yutrovic,Mujer,a favor,https://www.surenio.com.ar/2020/02/aborto-legal-seguro-y-gratuito-2,@caroyutrovic_,1964-09-12,afirmativo,56
"barbaro, hector",frente de todos,misiones,abstencion,barbaro,Varón,abstención/ausente,https://www.lavozdemisiones.com/politica/el-diputado-nacional-cacho-barbaro-votara-en-contra-del-aborto/,@CachoBarbaro,1963-04-04,abstencion,57
"cornejo, alfredo",union civica radical,mendoza,abstencion,cornejo,Varón,abstención/ausente,voto 2020,@alfredocornejo,1962-03-20,abstencion,58
"ferreyra, daniel",frente de todos,jujuy,abstencion,ferreyra,Varón,abstención/ausente,https://www.quepasajujuy.com.ar/nota/104872-cambio-de-postura-de-un-segundo-al-otro-julio-ferreyra-votara-a-favor-del-aborto/,@DipFerreyra,1942-07-01,abstencion,78
"patino, jose",pro,ciudad autonoma de buenos aires,abstencion,patino,Mujer,abstención/ausente,https://twitter.com/nbg__/status/1337099723140968449?s=20,@joseluispatinio,1964-03-01,abstencion,56
"uhrig, romina",frente de todos,buenos aires,abstencion,uhrig,Mujer,abstención/ausente,votacion 2020,@RomiUhrig,1988-01-27,abstencion,32
"zuvic, mariana",coalicion civica,ciudad autonoma de buenos aires,abstencion,zuvic,Mujer,abstención/ausente,votacion 2020,@MarianaZuvic,1974-10-18,abstencion,46
